CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
12058539,02/08/2020 07:03:00 PM,02/09/2020 06:00:54 AM,02/09/2020 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3667 24TH ST, SAN FRANCISCO, CA, 94110",24TH ST,8,Dolores Heights,MISSION,37.751720428467,-122.424407958984,"(37.75172043, -122.42440796)",Phone,
11995341,01/25/2020 09:16:17 PM,01/25/2020 09:22:00 PM,01/25/2020 09:22:00 PM,Closed,Case is Invalid - please call sfpd @ 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"3151 23RD ST, SAN FRANCISCO, CA, 94110",23RD ST,9,Mission,MISSION,37.75393333,-122.415405,"(37.75393333, -122.415405)",Mobile/Open311,
11901088,01/05/2020 04:10:33 AM,01/05/2020 04:38:00 AM,01/05/2020 04:38:00 AM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of BROADWAY and END (1000 BLOCK OF),BROADWAY,3,Russian Hill,CENTRAL,37.796901914918,-122.41450861239,"(37.79690191, -122.41450861)",Mobile/Open311,
12018052,01/31/2020 12:20:05 AM,01/31/2020 12:41:00 AM,01/31/2020 12:41:00 AM,Closed,Case Transferred - Reported to SFPD dispatcher# 196...med. CAD# 10069.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"658 POST ST, SAN FRANCISCO, CA, 94109",POST ST,3,Lower Nob Hill,CENTRAL,37.787882125834,-122.412780392403,"(37.78788213, -122.41278039)",Mobile/Open311,
11919403,01/09/2020 04:14:00 AM,01/10/2020 06:00:25 AM,01/10/2020 06:00:25 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1418 WALLER ST, SAN FRANCISCO, CA, 94117",WALLER ST,5,Haight Ashbury,PARK,37.7691719,-122.4470223,"(37.7691719, -122.4470223)",Mobile/Open311,
11919409,01/09/2020 04:30:59 AM,01/10/2020 06:00:25 AM,01/10/2020 06:00:25 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"316 LAWTON ST, SAN FRANCISCO, CA, 94122",LAWTON ST,7,Inner Sunset,TARAVAL,37.75855255127,-122.466285705566,"(37.75855255, -122.46628571)",Web,
9206112,06/29/2018 11:47:22 PM,06/30/2018 06:00:07 AM,06/30/2018 06:00:07 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1287 42ND AVE, SAN FRANCISCO, CA, 94122",42ND AVE,4,Outer Sunset,TARAVAL,37.762676239014,-122.501922607422,"(37.76267624, -122.50192261)",Web,
11923916,01/09/2020 11:05:13 PM,01/10/2020 06:00:27 AM,01/10/2020 06:00:27 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"650 GREEN ST, SAN FRANCISCO, CA, 94133",GREEN ST,3,North Beach,CENTRAL,37.799530029297,-122.409942626953,"(37.79953003, -122.40994263)",Web,
11923922,01/09/2020 11:10:00 PM,01/10/2020 06:00:27 AM,01/10/2020 06:00:27 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1431 30TH AVE, SAN FRANCISCO, CA, 94122",30TH AVE,4,Outer Sunset,TARAVAL,37.76054264,-122.48893596,"(37.76054264, -122.48893596)",Mobile/Open311,
11924032,01/10/2020 03:08:33 AM,01/10/2020 03:30:00 AM,01/10/2020 03:30:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"55 DOLORES ST, SAN FRANCISCO, CA, 94103",DOLORES ST,8,Mission Dolores,MISSION,37.768314992245,-122.426501816516,"(37.76831499, -122.42650182)",Mobile/Open311,
11924143,01/10/2020 06:17:18 AM,01/10/2020 06:23:00 AM,01/10/2020 06:23:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"474 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",LEAVENWORTH ST,6,Tenderloin,TENDERLOIN,37.785396831745,-122.414587486553,"(37.78539683, -122.41458749)",Mobile/Open311,
9206085,06/29/2018 11:15:00 PM,06/30/2018 06:00:07 AM,06/30/2018 06:00:07 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"4396 JUDAH ST, SAN FRANCISCO, CA, 94122",JUDAH ST,4,Outer Sunset,TARAVAL,37.7603433,-122.5091748,"(37.7603433, -122.5091748)",Web,
9206056,06/29/2018 10:38:00 PM,06/30/2018 06:00:07 AM,06/30/2018 06:00:07 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"4396 JUDAH ST, SAN FRANCISCO, CA, 94122",JUDAH ST,4,Outer Sunset,TARAVAL,37.7603433,-122.5091748,"(37.7603433, -122.5091748)",Web,
11925323,01/10/2020 09:47:10 AM,01/10/2020 09:48:00 AM,01/10/2020 09:48:00 AM,Closed,Case Resolved - Need to contact SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1267 BRUSSELS ST, SAN FRANCISCO, CA, 94134",BRUSSELS ST,10,Portola,INGLESIDE,37.716651731206,-122.401089342425,"(37.71665173, -122.40108934)",Mobile/Open311,
9205996,06/29/2018 10:01:00 PM,06/30/2018 06:00:07 AM,06/30/2018 06:00:07 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"3281 21ST ST, SAN FRANCISCO, CA, 94110",21ST ST,9,Mission,MISSION,37.756779943086,-122.420659252329,"(37.75677994, -122.42065925)",Mobile/Open311,
11925777,01/10/2020 10:50:00 AM,01/10/2020 11:33:00 AM,01/10/2020 11:33:00 AM,Closed,Insufficient Information Provided - No information provided to investigate.,SFMTA - Muni System Feedback Queue,Noise Report,Noise Issue,Other,"2367 25TH AVE, SAN FRANCISCO, CA, 94116",25TH AVE,4,Parkside,TARAVAL,37.7434556,-122.4826794,"(37.7434556, -122.4826794)",Mobile/Open311,
9205882,06/29/2018 09:16:00 PM,06/30/2018 06:00:07 AM,06/30/2018 06:00:07 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of LISBON ST and BRAZIL AVE,LISBON ST,11,Excelsior,INGLESIDE,37.72354888916,-122.432434082031,"(37.72354889, -122.43243408)",Phone,
11900157,01/04/2020 04:51:00 PM,01/04/2020 09:30:20 PM,01/04/2020 09:30:20 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,HSOC Individual Queue,Noise Report,Noise Issue,Other,"3960 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,8,Castro,MISSION,37.76265,-122.43418,"(37.76265, -122.43418)",Mobile/Open311,
11928429,01/10/2020 07:33:29 PM,01/10/2020 07:51:00 PM,01/10/2020 07:51:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"984 BUENA VISTA AVE WEST, SAN FRANCISCO, CA, 94117 (Virtual)",BUENA VISTA AVE WEST,8,Buena Vista,PARK,37.77029971,-122.44320095,"(37.77029971, -122.44320095)",Mobile/Open311,
11944169,01/14/2020 02:04:15 PM,01/14/2020 02:06:00 PM,01/14/2020 02:06:00 PM,Closed,Comment Noted - PLEASE NOTIFY SFPD NON-EMERGENCY AT 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1450 FILBERT ST, SAN FRANCISCO, CA, 94109",FILBERT ST,2,Russian Hill,NORTHERN,37.7993925,-122.4234988,"(37.7993925, -122.4234988)",Web,
11976038,01/22/2020 12:12:00 AM,01/23/2020 06:00:03 AM,01/23/2020 06:00:03 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"3001 PIERCE ST, SAN FRANCISCO, CA, 94123",PIERCE ST,2,Cow Hollow,NORTHERN,37.797657983406,-122.439079018177,"(37.79765798, -122.43907902)",Mobile/Open311,
11976098,01/22/2020 02:03:00 AM,01/23/2020 06:00:05 AM,01/23/2020 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"450 RHODE ISLAND ST, SAN FRANCISCO, CA, 94107",RHODE ISLAND ST,10,Potrero Hill,SOUTHERN,37.764175,-122.402655,"(37.764175, -122.402655)",Mobile/Open311,
11976106,01/22/2020 02:31:54 AM,01/23/2020 06:00:05 AM,01/23/2020 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"863 HURON AVE, SAN FRANCISCO, CA, 94112",HURON AVE,11,Outer Mission,INGLESIDE,37.710433959961,-122.451431274414,"(37.71043396, -122.45143127)",Web,
11981475,01/22/2020 11:21:00 PM,01/23/2020 06:00:05 AM,01/23/2020 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"837 LARKIN ST, SAN FRANCISCO, CA, 94109",LARKIN ST,6,Tenderloin,TENDERLOIN,37.785609342042,-122.41837627007,"(37.78560934, -122.41837627)",Mobile/Open311,
11982179,01/23/2020 08:21:56 AM,01/23/2020 08:27:00 AM,01/23/2020 08:27:00 AM,Closed,Case Resolved - Need to contact SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"560 ASHBURY ST, SAN FRANCISCO, CA, 94117",ASHBURY ST,5,Haight Ashbury,PARK,37.770109592503,-122.446829426004,"(37.77010959, -122.44682943)",Mobile/Open311,
11900746,01/04/2020 08:50:52 PM,01/04/2020 09:12:00 PM,01/04/2020 09:12:00 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,Other,"785 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",GOLDEN GATE AVE,5,Civic Center,NORTHERN,37.7803491,-122.42345586,"(37.7803491, -122.42345586)",Mobile/Open311,
11788777,12/08/2019 08:08:17 PM,12/08/2019 08:43:00 PM,12/08/2019 08:43:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"489 NOE ST, SAN FRANCISCO, CA, 94114",NOE ST,8,Castro,MISSION,37.7612758,-122.4325711,"(37.7612758, -122.4325711)",Mobile/Open311,
12045174,02/06/2020 02:42:00 AM,02/07/2020 06:00:18 AM,02/07/2020 06:00:18 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"490 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,9,Mission,MISSION,37.758800365003,-122.417939216851,"(37.75880037, -122.41793922)",Mobile/Open311,
9204560,06/29/2018 03:24:35 PM,06/29/2018 03:37:00 PM,06/29/2018 03:37:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"684 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,6,Civic Center,NORTHERN,37.781855019376,-122.420436330418,"(37.78185502, -122.42043633)",Mobile/Open311,
11992522,01/25/2020 10:02:00 AM,01/26/2020 06:00:32 AM,01/26/2020 06:00:32 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,
11994679,01/25/2020 05:03:00 PM,01/25/2020 05:12:00 PM,01/25/2020 05:12:00 PM,Closed,Case is Invalid - please call sfpd @ 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"531 22ND AVE, SAN FRANCISCO, CA, 94121",22ND AVE,1,Outer Richmond,RICHMOND,37.777673720301,-122.481522169283,"(37.77767372, -122.48152217)",Mobile/Open311,
11909571,01/07/2020 04:22:00 AM,01/08/2020 06:00:05 AM,01/08/2020 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"3728 JUDAH ST, SAN FRANCISCO, CA, 94122",JUDAH ST,4,Outer Sunset,TARAVAL,37.760632426782,-122.501887259191,"(37.76063243, -122.50188726)",Mobile/Open311,
12054350,02/07/2020 05:05:37 PM,02/07/2020 05:10:00 PM,02/07/2020 05:10:00 PM,Closed,Comment Noted - pls call sfpd non emergency at  415 5530123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"330 CAROLINA ST, SAN FRANCISCO, CA, 94107",CAROLINA ST,10,Potrero Hill,SOUTHERN,37.764431825367,-122.400597479534,"(37.76443183, -122.40059748)",Mobile/Open311,
12054959,02/07/2020 07:58:55 PM,02/07/2020 08:38:00 PM,02/07/2020 08:38:00 PM,Closed,Comment Noted - call sfpd non emergency at  415 5530123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"456 VAN NESS AVE, SAN FRANCISCO, CA, 94102 (Virtual)",VAN NESS AVE,6,Civic Center,NORTHERN,37.7797,-122.42,"(37.7797, -122.42)",Mobile/Open311,
11966567,01/19/2020 07:43:23 PM,01/19/2020 07:46:00 PM,01/19/2020 07:46:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"3600 MISSION ST, SAN FRANCISCO, CA, 94131",MISSION ST,8,Holly Park,INGLESIDE,37.73873281,-122.42402818,"(37.73873281, -122.42402818)",Mobile/Open311,
12003444,01/27/2020 08:35:02 PM,01/27/2020 09:15:00 PM,01/27/2020 09:15:00 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1462 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",HAMPSHIRE ST,9,Mission,MISSION,37.749294134763,-122.406611031656,"(37.74929413, -122.40661103)",Mobile/Open311,
11910867,01/07/2020 09:55:00 AM,01/11/2020 03:23:00 PM,01/11/2020 03:23:00 PM,Closed,Comment Noted,311 Service Request Queue - Hold,Noise Report,Noise Issue,Other,"724 TREAT AVE, SAN FRANCISCO, CA, 94110",TREAT AVE,9,Mission,MISSION,37.75844167,-122.41359667,"(37.75844167, -122.41359667)",Mobile/Open311,
12067561,02/10/2020 08:37:49 PM,02/11/2020 06:00:30 AM,02/11/2020 06:00:30 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1714 GREENWICH ST, SAN FRANCISCO, CA, 94123",GREENWICH ST,2,Union Street,NORTHERN,37.800064086914,-122.427993774414,"(37.80006409, -122.42799377)",Web,
12067792,02/10/2020 10:25:00 PM,02/11/2020 06:00:30 AM,02/11/2020 06:00:30 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"636 14TH ST, SAN FRANCISCO, CA, 94114",14TH ST,8,Mission Dolores,MISSION,37.7678641542,-122.427476462179,"(37.76786415, -122.42747646)",Mobile/Open311,
